cnn_weight,lightgbm_weight,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
0.0,1.0,0.99,0.9979674796747967,0.982,0.9899193548387096,0.9957699999999998,0.9973232843288381,998,2,18,982
0.05,0.95,0.99,0.9979674796747967,0.982,0.9899193548387096,0.995809,0.9973467904415522,998,2,18,982
0.1,0.9,0.9905,0.9989827060020345,0.982,0.9904185577407968,0.99594,0.9974151743555316,999,1,18,982
0.15,0.85,0.9905,0.9989827060020345,0.982,0.9904185577407968,0.995953,0.9974270871898283,999,1,18,982
0.2,0.8,0.9905,0.9989827060020345,0.982,0.9904185577407968,0.9959619999999999,0.997433044492389,999,1,18,982
0.25,0.75,0.991,0.9989837398373984,0.983,0.9909274193548387,0.9959829999999998,0.9974403655034856,999,1,17,983
0.3,0.7,0.991,0.9989837398373984,0.983,0.9909274193548387,0.9960260000000001,0.9974592333108779,999,1,17,983
0.35,0.65,0.991,0.9989837398373984,0.983,0.9909274193548387,0.996236,0.9975355191622917,999,1,17,983
0.4,0.6,0.9915,0.9989847715736041,0.984,0.9914357682619648,0.9964850000000001,0.9976282167397565,999,1,16,984
0.45,0.55,0.9915,0.9989847715736041,0.984,0.9914357682619648,0.996584,0.9976761386095209,999,1,16,984
0.5,0.5,0.99,0.9979674796747967,0.982,0.9899193548387096,0.9966439999999999,0.9977056176867506,998,2,18,982
0.55,0.44999999999999996,0.989,0.9979633401221996,0.98,0.9889001009081736,0.99669,0.9977275082614834,998,2,20,980
0.6,0.4,0.989,0.9979633401221996,0.98,0.9889001009081736,0.9967410000000001,0.9977600304468374,998,2,20,980
0.65,0.35,0.989,0.9979633401221996,0.98,0.9889001009081736,0.996779,0.9977869225277035,998,2,20,980
0.7,0.30000000000000004,0.9885,0.9979612640163099,0.979,0.9883897021706209,0.996803,0.997801029345207,998,2,21,979
0.75,0.25,0.9885,0.9979612640163099,0.979,0.9883897021706209,0.9968540000000001,0.997830315316873,998,2,21,979
0.8,0.19999999999999996,0.9885,0.9979612640163099,0.979,0.9883897021706209,0.9968940000000001,0.9978583516063674,998,2,21,979
0.85,0.15000000000000002,0.988,0.9979591836734694,0.978,0.9878787878787879,0.9969250000000001,0.9978793953666681,998,2,22,978
0.9,0.09999999999999998,0.988,0.9979591836734694,0.978,0.9878787878787879,0.9969939999999999,0.9979111110586444,998,2,22,978
0.95,0.050000000000000044,0.988,0.9979591836734694,0.978,0.9878787878787879,0.997066,0.9979240157242533,998,2,22,978
1.0,0.0,0.988,0.9979591836734694,0.978,0.9878787878787879,0.996759,0.997759016004921,998,2,22,978
