feature,importance
hostname_entropy,1100
vowel_fraction,1069
host_length,1011
url_length,536
letter_count,412
hyphen_count,287
num_dots,242
special_char_count,202
digit_count,190
digit_letter_ratio,163
path_length,114
is_https,71
num_path_segments,48
bucket_0_20,28
suspicious_tld,23
bucket_21_40,18
path_entropy,8
bucket_101_plus,1
bucket_41_60,1
is_ip_host,0
token_confirm,0
token_webscr,0
token_verify,0
token_update,0
token_signin,0
token_secure,0
token_login,0
token_account,0
token_bank,0
has_at_symbol,0
has_fragment,0
percent_encoded_fraction,0
bucket_61_80,0
num_query_params,0
bucket_81_100,0
has_port,0
